candidate_position,candidate_token_id,candidate_token_text,current_anchors,example_id,information_gain,p_gt_gain,step
0,305,   ,[],HumanEval/0,18.92335045337677,0.03505948411498139,1
1,352, for,[],HumanEval/0,59.25548608601093,0.3474340069125219,1
2,18400, idx,[],HumanEval/0,44.93278204277158,2.7085584252990884,1
3,11,",",[],HumanEval/0,21.549553722143173,4.581172664801215,1
4,38254, elem,[],HumanEval/0,29.002248734235764,4.056954901719109,1
5,296, in,[],HumanEval/0,25.802431493997574,4.557679350191393,1
6,35424, enumerate,[],HumanEval/0,61.15125130582601,8.128234002996578,1
7,3733,(n,[],HumanEval/0,22.70401618629694,3.3668578844769854,1
8,22903,umbers,[],HumanEval/0,31.568343997001648,3.5606438400548086,1
9,3535,):,[],HumanEval/0,19.972669690847397,4.713134641912347,1
11,394,       ,[],HumanEval/0,14.314955234527588,2.97778517873121,1
12,352, for,[],HumanEval/0,25.44387185573578,2.4210290328596784,1
13,18400, idx,[],HumanEval/0,26.626401215791702,2.266854536048413,1
14,17,2,[],HumanEval/0,11.047177135944366,0.093608736747683,1
15,11,",",[],HumanEval/0,17.58442932367325,0.300139942482474,1
16,38254, elem,[],HumanEval/0,13.728189438581467,0.9734757826258829,1
17,17,2,[],HumanEval/0,3.790408283472061,1.2497141698854648,1
18,296, in,[],HumanEval/0,35.55231684446335,0.6363739414689462,1
19,35424, enumerate,[],HumanEval/0,43.13000952452421,4.116574120843211,1
20,3733,(n,[],HumanEval/0,22.649390012025833,1.7708970281166785,1
21,22903,umbers,[],HumanEval/0,37.25574815273285,2.378622060952921,1
22,3535,):,[],HumanEval/0,45.85492764413357,2.7698233489957147,1
24,542,           ,[],HumanEval/0,68.99081851448864,2.26286993672295,1
25,624, if,[],HumanEval/0,31.38243705034256,1.7658386554317076,1
26,18400, idx,[],HumanEval/0,40.533774107694626,1.4927277502608831,1
27,2648, !=,[],HumanEval/0,42.17408965528011,3.0441323330169325,1
28,18400, idx,[],HumanEval/0,57.66455343365669,0.3406892171124696,1
29,17,2,[],HumanEval/0,6.109336078166962,0.8159476894479667,1
30,25,:,[],HumanEval/0,15.081560164690018,1.2850866186886378,1
32,921,               ,[],HumanEval/0,49.70749893411994,1.284049532782774,1
33,7118, distance,[],HumanEval/0,21.768421858549118,2.41385834484754,1
34,373, =,[],HumanEval/0,18.495798885822296,1.9912743748813,1
35,3824, abs,[],HumanEval/0,82.4681468307972,-0.17459874902488082,1
36,84003,(elem,[],HumanEval/0,14.092573493719101,1.7465627442552432,1
37,537, -,[],HumanEval/0,54.36848255991936,-0.18786607842230296,1
38,38254, elem,[],HumanEval/0,10.89400890469551,1.0094620312875122,1
39,17,2,[],HumanEval/0,7.356593668460846,0.9053613260373368,1
40,8,),[],HumanEval/0,16.932132303714752,1.2889184160026161,1
42,921,               ,[],HumanEval/0,85.69679102301598,0.5981651566664823,1
43,624, if,[],HumanEval/0,-0.5441073775291443,0.7131683105355933,1
44,7118, distance,[],HumanEval/0,29.798110991716385,7.089346241321891,1
45,797, <,[],HumanEval/0,57.4462596476078,4.819227291755794,1
46,14362, threshold,[],HumanEval/0,57.76995384693146,5.208090518523932,1
47,25,:,[],HumanEval/0,36.1172394156456,5.462298040397627,1
49,1546,                   ,[],HumanEval/0,64.8357986677438,5.991397826428511,1
50,944, return,[],HumanEval/0,27.8286574780941,3.834697645663553,1
51,8261, True,[],HumanEval/0,31.580880746245384,4.54834439652781,1
54,305,   ,[],HumanEval/0,-12.645760679617524,1.1487576156394539,1
55,944, return,[],HumanEval/0,-49.728942692279816,0.41376672264323133,1
56,10158, False,[],HumanEval/0,12.956707820296288,2.633079731673206,1
0,305,   ,[42],HumanEval/0,9.080841183662415,0.20567094611328685,2
1,352, for,[42],HumanEval/0,7.564695753157139,0.3552610488774235,2
2,18400, idx,[42],HumanEval/0,28.10189586877823,3.5983170245374367,2
3,11,",",[42],HumanEval/0,-14.485621728003025,3.901118465899117,2
4,38254, elem,[42],HumanEval/0,-27.55907329171896,4.770893792661582,2
5,296, in,[42],HumanEval/0,3.1979815289378166,4.6078250985599425,2
6,35424, enumerate,[42],HumanEval/0,-3.2664548391476274,8.276968242845896,2
7,3733,(n,[42],HumanEval/0,8.247820420190692,3.9633566053341838,2
8,22903,umbers,[42],HumanEval/0,13.49214132875204,4.784108202497691,2
