anchor_path,answer_correct,decoded_answer,decoded_text_preview,delta_vs_previous,delta_vs_standard,example_id,gold_answer,k,new_anchor_positions,new_anchor_token_texts,policy
,True,18,"janet has 16 - 3 - 4 = 9 eggs left to sell. she sells each egg for $2, so she makes 9 * $2 = $18 every day at the farmers' market. upon calculation, we find: 18",0.0,0.0,0,18,0,[],[],greedy_ig
12:' <<',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 eggs per day. she makes 9 x $2 = $<<9*2=18>>18 at the farmers' market. result: 18,0.0,0.0,0,18,1,[12],"["" <<""]",greedy_ig
12:' <<' -> 38:'9',True,18,she sells 16 - 3 - 4 = <<16-3-4=9>>9 eggs every day. so she makes 9 x $2 = $<<9*2=18>>18 every day. the answer is: 18,0.0,0.0,0,18,2,[38],"[""9""]",greedy_ig
12:' <<' -> 38:'9' -> 47:' every',True,18,she sells 16 - 3 - 4 = <<16-3-4=9>>9 eggs every day. so she makes 9 x $2 = $<<9*2=18>>18 every day. the answer is: 18,0.0,0.0,0,18,3,[47],"["" every""]",greedy_ig
12:' <<' -> 23:' duck' -> 38:'9' -> 47:' every',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 x $2 = $<<9*2=18>>18 every day. the answer is: 18,0.0,0.0,0,18,4,[23],"["" duck""]",greedy_ig
12:' <<' -> 23:' duck' -> 38:'9' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 x $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,5,[52],"[""’s""]",greedy_ig
12:' <<' -> 23:' duck' -> 29:'She' -> 38:'9' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 x $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,6,[29],"[""She""]",greedy_ig
12:' <<' -> 23:' duck' -> 29:'She' -> 33:' *' -> 38:'9' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 * $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,7,[33],"["" *""]",greedy_ig
12:' <<' -> 23:' duck' -> 29:'She' -> 33:' *' -> 38:'9' -> 45:'1' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 * $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,8,[45],"[""1""]",greedy_ig
12:' <<' -> 23:' duck' -> 26:' day' -> 29:'She' -> 33:' *' -> 38:'9' -> 45:'1' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 * $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,9,[26],"["" day""]",greedy_ig
12:' <<' -> 19:'=' -> 23:' duck' -> 26:' day' -> 29:'She' -> 33:' *' -> 38:'9' -> 45:'1' -> 47:' every' -> 52:'’s',True,18,janet sells 16 - 3 - 4 = <<16-3-4=9>>9 duck eggs every day. she makes 9 * $2 = $<<9*2=18>>18 every day. here’s the solution: 18,0.0,0.0,0,18,10,[19],"[""=""]",greedy_ig
,True,18,"janet has 16 - 3 - 4 = 9 eggs left to sell. she sells each egg for $2, so she makes 9 * $2 = $18 every day at the farmers' market. upon calculation, we find: 18",0.0,0.0,0,18,0,[],[],prefix
0:'Janet',False,26,"janet has 16 - 3 - 4 = 9 eggs left to sell. she sells each egg for $2, so she makes 9 * $2 = $26 every day at the farmers' market. summing up, we get 26",-1.0,-1.0,0,18,1,[0],"[""Janet""]",prefix
